Sector,Industry,ESG_Dimension,ESG_Topic,Materiality_Score,Is_Material
Consumer Goods,"Apparel, Accessories & Footwear",Environment,GHG Emissions,4,True
Consumer Goods,"Apparel, Accessories & Footwear",Environment,Air Quality,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Environment,Energy Management,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Environment,Water & Wastewater Management,4,True
Consumer Goods,"Apparel, Accessories & Footwear",Environment,Waste & Hazardous Materials,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Environment,Ecological Impacts,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Human Rights & Community Relations,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Customer Privacy,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Data Security,5,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Access & Affordability,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Product Quality & Safety,5,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Customer Welfare,5,True
Consumer Goods,"Apparel, Accessories & Footwear",Social Capital,Selling Practices & Product Labeling,5,True
Consumer Goods,"Apparel, Accessories & Footwear",Human Capital,Labor Practices,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Human Capital,Employee Health & Safety,4,True
Consumer Goods,"Apparel, Accessories & Footwear",Human Capital,Employee Engagement,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Human Capital,Diversity & Inclusion,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Business Model & Innovation,Product Design & Lifecycle,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Business Model & Innovation,Business Model Resilience,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Business Model & Innovation,Supply Chain Management,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Business Model & Innovation,Materials Sourcing & Efficiency,3,True
Consumer Goods,"Apparel, Accessories & Footwear",Business Model & Innovation,Physical Impacts of Climate Change,5,True
Consumer Goods,"Apparel, Accessories & Footwear",Leadership & Governance,Business Ethics,4,True
Consumer Goods,"Apparel, Accessories & Footwear",Leadership & Governance,Competitive Behavior,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Leadership & Governance,Regulatory Environment Management,4,True
Consumer Goods,"Apparel, Accessories & Footwear",Leadership & Governance,Critical Incident Risk Management,2,False
Consumer Goods,"Apparel, Accessories & Footwear",Leadership & Governance,Systemic Risk Management,4,True
Consumer Goods,Appliance Manufacturing,Environment,GHG Emissions,4,True
